Internal ID,Display Name,Blank Color,Blank Silo,Shopify Display Color,Parent Display Name,Size,Production Folder,HMG Print Note,Placement from Collar,AW_Front,AW_Back,AW_LS,AW_RS,AW_Neck,Spec_Sheet,MD APPROVED,BLANK ID,SKU ID,Notes,Color + Size,MD SKU,PLR,PLR Bin ID,PLR Type,PLR Preview,Master Graphic,MD Active,Recipe,Ready to Activate?,Back from Collar,Spec_Sheet 2
10012,Block Ohio Grey XS,Grey,Tee,Grey,Block Ohio,XS,https://homage.box.com/s/xtbvn9tdsi7v694g12p53wg5lxfkegpg,Pretreat - Color Only,2,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/AW_Front/All%20Scale/DTG%20-%20BLOCK%20OHIO%20GREY.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/Spec%20Sheet/HMW24_00_067%20BLOCK%20OHIO%20UNISEX%20TEE%20GREY.png,TRUE,1.01E+11,0101000010101,,Grey XS,248-128-021,,,,,Block Ohio,TRUE,,Ready to Activate,,
10013,Block Ohio Grey S,Grey,Tee,Grey,Block Ohio,S,https://homage.box.com/s/xtbvn9tdsi7v694g12p53wg5lxfkegpg,Pretreat - Color Only,2,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/AW_Front/All%20Scale/DTG%20-%20BLOCK%20OHIO%20GREY.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/Spec%20Sheet/HMW24_00_067%20BLOCK%20OHIO%20UNISEX%20TEE%20GREY.png,TRUE,1.01E+11,0101000010102,,Grey S,248-128-001,,,,,Block Ohio,TRUE,,Ready to Activate,,
10014,Block Ohio Grey M,Grey,Tee,Grey,Block Ohio,M,https://homage.box.com/s/xtbvn9tdsi7v694g12p53wg5lxfkegpg,Pretreat - Color Only,2,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/AW_Front/All%20Scale/DTG%20-%20BLOCK%20OHIO%20GREY.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/Spec%20Sheet/HMW24_00_067%20BLOCK%20OHIO%20UNISEX%20TEE%20GREY.png,TRUE,1.01E+11,0101000010103,,Grey M,248-128-002,,,,,Block Ohio,TRUE,,Ready to Activate,,
10015,Block Ohio Grey L,Grey,Tee,Grey,Block Ohio,L,https://homage.box.com/s/xtbvn9tdsi7v694g12p53wg5lxfkegpg,Pretreat - Color Only,2,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/AW_Front/All%20Scale/DTG%20-%20BLOCK%20OHIO%20GREY.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/Spec%20Sheet/HMW24_00_067%20BLOCK%20OHIO%20UNISEX%20TEE%20GREY.png,TRUE,1.01E+11,0101000010104,,Grey L,248-128-003,,,,,Block Ohio,TRUE,,Ready to Activate,,
10016,Block Ohio Grey XL,Grey,Tee,Grey,Block Ohio,XL,https://homage.box.com/s/xtbvn9tdsi7v694g12p53wg5lxfkegpg,Pretreat - Color Only,2,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/AW_Front/All%20Scale/DTG%20-%20BLOCK%20OHIO%20GREY.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/Spec%20Sheet/HMW24_00_067%20BLOCK%20OHIO%20UNISEX%20TEE%20GREY.png,TRUE,1.01E+11,0101000010105,,Grey XL,248-128-004,,,,,Block Ohio,TRUE,,Ready to Activate,,
10017,Block Ohio Grey XXL,Grey,Tee,Grey,Block Ohio,XXL,https://homage.box.com/s/xtbvn9tdsi7v694g12p53wg5lxfkegpg,Pretreat - Color Only,2,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/AW_Front/All%20Scale/DTG%20-%20BLOCK%20OHIO%20GREY.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/Spec%20Sheet/HMW24_00_067%20BLOCK%20OHIO%20UNISEX%20TEE%20GREY.png,TRUE,1.01E+11,0101000010106,,Grey XXL,248-128-005,,,,,Block Ohio,TRUE,,Ready to Activate,,
10018,Block Ohio Grey 3XL,Grey,Tee,Grey,Block Ohio,3XL,https://homage.box.com/s/xtbvn9tdsi7v694g12p53wg5lxfkegpg,Pretreat - Color Only,2,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/AW_Front/All%20Scale/DTG%20-%20BLOCK%20OHIO%20GREY.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Grey/01010000101_Block_Ohio/Spec%20Sheet/HMW24_00_067%20BLOCK%20OHIO%20UNISEX%20TEE%20GREY.png,TRUE,1.01E+11,0101000010107,,Grey 3XL,248-128-006,,,,,Block Ohio,TRUE,,Ready to Activate,,
10026,Script Ohio Charcoal/White Ink XS,Charcoal,Tee,Charcoal,Script Ohio,XS,https://homage.box.com/s/dy1r6rkghi1yvmrw7254xibvtwlsccy9,Pretreat,1.5,https://media.homage.com/Production%20Art/Tee/Charcoal/01010001030_Script_Ohio/AW_Front/Small%20Scale/DTG%20XS-M%20SCRIPT%20OHIO%20WHITE%20INK.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Charcoal/01010001030_Script_Ohio/Spec%20Sheet/HMW17_00_096_V3%20SCRIPT%20OHIO%20UNISEX%20TEE%20CHARCOAL%20WHITE%20INK%20V3.png,TRUE,1.01E+11,0101000103001,,Charcoal XS,248-023-021,Ohio State,3K,Sticker,https://media.homage.com/PhysicalLicense/Ohio+State.png,Script Ohio,TRUE,,Ready to Activate,,
10027,Script Ohio Charcoal/White Ink S,Charcoal,Tee,Charcoal,Script Ohio,S,https://homage.box.com/s/dy1r6rkghi1yvmrw7254xibvtwlsccy9,Pretreat,1.5,https://media.homage.com/Production%20Art/Tee/Charcoal/01010001030_Script_Ohio/AW_Front/Small%20Scale/DTG%20XS-M%20SCRIPT%20OHIO%20WHITE%20INK.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Charcoal/01010001030_Script_Ohio/Spec%20Sheet/HMW17_00_096_V3%20SCRIPT%20OHIO%20UNISEX%20TEE%20CHARCOAL%20WHITE%20INK%20V3.png,TRUE,1.01E+11,0101000103002,,Charcoal S,248-023-001,Ohio State,3K,Sticker,https://media.homage.com/PhysicalLicense/Ohio+State.png,Script Ohio,TRUE,,Ready to Activate,,
10028,Script Ohio Charcoal/White Ink M,Charcoal,Tee,Charcoal,Script Ohio,M,https://homage.box.com/s/dy1r6rkghi1yvmrw7254xibvtwlsccy9,Pretreat,1.5,https://media.homage.com/Production%20Art/Tee/Charcoal/01010001030_Script_Ohio/AW_Front/Small%20Scale/DTG%20XS-M%20SCRIPT%20OHIO%20WHITE%20INK.png,-,-,-,-,https://media.homage.com/Production%20Art/Tee/Charcoal/01010001030_Script_Ohio/Spec%20Sheet/HMW17_00_096_V3%20SCRIPT%20OHIO%20UNISEX%20TEE%20CHARCOAL%20WHITE%20INK%20V3.png,TRUE,1.01E+11,0101000103003,,Charcoal M,248-023-002,Ohio State,3K,Sticker,https://media.homage.com/PhysicalLicense/Ohio+State.png,Script Ohio,TRUE,,Ready to Activate,,
